,index,Rating,Archive Warnings,Category,Fandom,Characters,Relationships,Additional Tags,Language,Date Published,Date Updated,Word Count,Chapter Count,Comment Count,Kudos Count,Bookmarks Count,Hits Count
170,11,Teen And Up Audiences,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Beatrix Monroe | Auntie Bee', 'Jinnah ""Jean"" Basar', 'Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Nathaniel Trapp']","['Marion Collodi & Sean Finnerty', 'Implied Sean Finnerty/Marion Collodi']","['Angst with a Happy Ending', 'Circle of Needle and Thread (Candela Obscura)', 'Power Swap']",English,2023-09-20 00:00:00,2023-09-20 00:00:00,2230,1/1,9,94,5,494
171,12,Teen And Up Audiences,Graphic Depictions Of Violence,Gen,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Beatrix Monroe | Auntie Bee', 'Jinnah ""Jean"" Basar', 'Nathaniel Trapp']",Marion Collodi & Sean Finnerty,"['Body Horror', 'Supernatural Elements', 'Best Friends', 'Canon-Typical Violence', 'Team Dynamics', 'Team as Family', 'Pre-Canon', 'Blood and Gore', 'Touch-Starved', 'Tenderness', 'Caretaking', 'Veterans', 'Non-Graphic Violence', 'Graphic Description', 'Post-Traumatic Stress Disorder - PTSD', 'Candela Obscura: Circle of the Needle and Thread (Critical Role)']",English,2023-09-13 00:00:00,2023-09-13 00:00:00,2256,1/1,6,73,3,459
172,13,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Jinnah ""Jean"" Basar', 'Marion Collodi', 'Sean Finnerty (Candela Obscura)']","['Jinnah ""Jean"" Basar/Marion Collodi', 'Jinnah ""Jean"" Basar & Sean Finnerty']","[""it's honestly hard to define the relationships in here clearly enough to tag them""]",English,2023-09-11 00:00:00,2023-09-11 00:00:00,1649,1/1,17,49,6,349
173,14,General Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Nathaniel Trapp']",Marion Collodi/Sean Finnerty,"['Fluff and Humor', 'Idiots in Love', ""they're basically married without knowing it"", '5+1 Things', 'kind of?', 'Comedy', 'Swearing', 'POV Alternating']",English,2023-09-10 00:00:00,2023-09-10 00:00:00,3639,1/1,6,116,9,696
174,15,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)']",Marion Collodi/Sean Finnerty,"['Emotional Hurt/Comfort', 'Post-Traumatic Stress Disorder - PTSD', 'First Kiss', 'Friends to Lovers']",English,2023-09-10 00:00:00,2023-09-10 00:00:00,1490,1/1,7,118,9,629
175,16,Not Rated,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Jinnah ""Jean"" Basar', 'Nathaniel Trapp', 'Beatrix Monroe | Auntie Bee']","['Marion Collodi & Sean Finnerty', 'Marion Collodi/Sean Finnerty']","['Angst', 'Angst and Hurt/Comfort', 'Feels', 'Fluff']",English,Unknown,2023-09-10 00:00:00,2634,1/1,8,115,11,852
176,17,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Nathaniel Trapp']",Marion Collodi/Sean Finnerty,"['Power Swap', 'accidental and short term', 'Blood and Injury', ""Marion is so done with Sean's self-sacrificing""]",English,2023-09-07 00:00:00,2023-09-09 00:00:00,4910,2/2,19,208,20,1265
177,18,Explicit,No Archive Warnings Apply,"F/M, M/M, Multi",Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Jinnah ""Jean"" Basar', 'Marion Collodi', 'Beatrix Monroe | Auntie Bee', 'Nathaniel Trapp']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Temporary Amnesia', 'Angst', 'Hurt/Comfort', 'Bottom Table OT3', 'Head Injury', 'Polyamory Negotiations', 'Flashbacks', 'Established Relationship', 'Grief/Mourning', 'Vaginal Sex', 'Vaginal Fingering', 'Oral Sex', 'Class Differences', 'Mind the Tags', 'headcanon dump', 'Domesticity', 'Pining', 'Medical Procedures', 'Suturing', 'Dirty Talk']",English,Unknown,2023-09-09 00:00:00,12900,1/1,33,103,21,735
178,19,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Beatrix Monroe | Auntie Bee', '(mentioned)']","['Marion Collodi/Sean Finnerty', 'Marion Collodi & Sean Finnerty']","['Soldiers', 'Post-War', 'Gay Marion Collodi', 'Bisexual Sean Finnerty', 'Scars', 'Angst', 'Angst with a Happy Ending', 'Friendship/Love', 'Post-Canon', 'Episode: s02e01 Eye for an Eye (Candela Obscura)']",English,2023-09-09 00:00:00,2023-09-09 00:00:00,1652,1/1,8,109,9,513
179,20,Not Rated,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar']",Marion Collodi & Sean Finnerty,"['Post-Traumatic Stress Disorder - PTSD', 'Canon-Typical Violence', 'Blood and Violence', 'War', 'Angst', 'Hes a Little Fucked Up']",English,Unknown,2023-09-08 00:00:00,1737,1/1,6,92,7,480
180,1,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Original Characters', 'ish - Character', 'Tony Finnerty', 'Jimmy Finnerty']",Sean Finnerty/Marion Collodi,"['Pre-Relationship', 'Pre-Canon', 'Teenagers', 'Crushes', 'Teen Crush', 'Secret Crush', 'Pining', 'ish', 'Brotherly Bonding', 'Found Family', ""no beta we die like sean's brothers"", 'im sorry its too soon for that', 'Repression', 'But just barely', 'Angst with a Happy Ending', 'just at the end']",English,2023-09-08 00:00:00,2023-09-08 00:00:00,1967,1/1,6,47,5,315
181,2,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Original Female Character(s)', 'Original Male Character(s)']",Marion Collodi/Sean Finnerty,"['5+1 Things', 'First Kiss', 'Friends to Lovers', 'Compulsory Heterosexuality', 'Nonverbal Communication', 'Post-Traumatic Stress Disorder - PTSD', 'POV Second Person', 'no beta we die like not these guys I hope!!', 'Bisexual Male Character', 'Coming of Age', 'Pining', 'Implied/Referenced Underage Drinking', 'Emotional Hurt/Comfort', 'Missing Scene', 'Episode: s02e01 Eye for an Eye (Candela Obscura)']",English,2023-09-08 00:00:00,2023-09-08 00:00:00,3864,1/1,22,85,16,442
